name,x,y,norm,distinct
,-36.444424,0.32180354,1.4142135623730951,1
$build_deps,-32.63913,-9.647957,4.358898943540674,19
..,-35.291008,-4.4100556,3.4641016151377544,4
2decomp,-34.243126,-7.7011867,3.0,9
^pmix,-34.219563,1.6355405,1.4142135623730951,2
abinit,-11.988421,38.261578,16.06237840420901,225
abseil-cpp,34.197346,-44.04061,25.729360660537214,649
abyss,-20.256525,33.637047,15.524174696260024,168
accfft,-34.243126,-7.7011867,3.0,9
acclapack-tests,-36.65945,0.04409455,1.4142135623730951,1
ack,-12.58753,-12.435899,5.916079783099616,35
acts,-17.442997,-35.496723,17.291616465790582,94
acts-dd4hep,-27.842743,-40.093582,8.18535277187245,67
actsvg,-27.967709,-40.12979,8.18535277187245,67
adiak,-39.51246,5.224937,2.0,4
adios,-2.3981538,-48.92111,186.22029964533942,313
adios2,5.3089237,38.280617,196.62654958067083,619
afterburner,-18.121243,-35.760162,13.416407864998739,93
ahf-gizmo,-38.518677,1.0474322,2.449489742783178,4
alien,-38.62976,3.0722442,3.1622776601683795,3
all:,-27.316942,-7.4124794,8.06225774829855,19
allinea-forge,-16.819862,8.291265,12.24744871391589,75
allinea-reports,-16.42526,8.527042,12.24744871391589,75
allpaths-lg,-46.00514,47.292877,10.04987562112089,101
almabte,9.291677,28.8241,24.839484696748443,232
alpaka,28.245678,-3.0995426,38.98717737923585,660
alpgen,28.048374,-1.7806746,38.98717737923585,660
alquimia,-4.592262,-49.06154,130.96182649917495,268
aluminum,-36.866688,-5.8252463,2.449489742783178,3
amber,0.5021736,56.008606,14.560219778561036,179
amdblis,-32.628273,-16.78615,3.1622776601683795,5
amdfftw,-26.972107,-12.303975,3.605551275463989,13
amg2013,-16.387386,30.802744,11.832159566199232,70
amgx,-8.131025,18.960386,53.70288632839021,173
aml,-1.108058,-53.10005,195.19477452022122,334
amr-wind,-21.98164,-7.0266848,10.583005244258363,42
amrex,2.0581188,-53.19871,205.68422399396604,375
amrvis,-12.074845,-29.472528,14.45683229480096,40
anaconda3,26.626848,59.17745,18.275666882497067,256
angsd,5.696298,46.07934,29.257477676655586,331
ansys-fluids,-38.741844,12.209795,5.656854249492381,17
ansys-fluidstructures,-38.332798,12.549323,4.123105625617661,17
ansys-structures,-38.332542,12.549311,4.123105625617661,17
antlr,1.4796319,10.954105,23.62202362203543,152
aocc,-43.60924,-11.223123,5.0,18
apollo,-42.726944,2.6332867,3.0,5
apple-libunwind,-23.926575,-8.549419,6.244997998398398,39
apptainer,3.9797454,10.750676,13.152946437965905,136
apr,-49.510548,-7.9873266,9.643650760992955,30
apr-util,-49.510548,-7.9873266,9.643650760992955,30
aragorn,-43.39288,46.895046,10.04987562112089,101
arborx,-1.8494157,-53.153004,202.13361917306088,337
arcane,-38.62976,3.0722442,3.1622776601683795,3
archer,-4.932734,-47.43533,168.75129629131743,278
argobots,0.07187313,-52.76823,192.67589366602144,357
argtable3,-22.955244,-14.127305,12.449899597988733,22
aria2,24.993229,58.380085,16.1245154965971,227
arm-forge,2.0900512,10.617325,17.435595774162696,118
armadillo,-2.6049116,56.51006,18.16590212458495,171
arpack-ng,5.3982697,14.464449,33.57082066318904,437
arrow,-22.952263,10.661358,23.15167380558045,164
